Edit Set Data,close date,open date
AS01-Assessment-5.2-Volumes edit,1/22/2021,1/12/2021
AS02-Assessment-5.4-Work edit,1/25/2021,1/15/2021
AS03-Assessment-6.1-Inverse-fcns edit,1/26/2021,1/16/2021
AS04-Assessment-6.2-Natural-log-fcn edit,1/27/2021,1/17/2021
AS05-Assessment-6.3-Natural-exp-fcn edit,1/27/2021,1/17/2021
AS06-Assessment-6.4-General-log-exp-fcns edit,1/29/2021,1/19/2021
AS07-Assessment-6.5-Exp-growth-decay edit,2/1/2021,1/22/2021
AS08-Assessment-6.6-Inverse-trig-fcns edit,2/3/2021,1/24/2021
AS09-Assessment-6.7-Hyperbolic-fcns edit,2/5/2021,1/26/2021
AS10-Assessment-6.8-lHopitals-rule edit,2/8/2021,1/29/2021
AS11-Assessment-7.1-Integration-by-parts edit,2/12/2021,2/2/2021
AS12-Assessment-7.2-Trig-integrals edit,2/15/2021,2/5/2021
AS13-Assessment-7.3-Trig-substitution edit,2/19/2021,2/9/2021
AS14-Assessment-7.4-Partial-fractions edit,2/22/2021,2/12/2021
AS15-Assessment-7.8-Improper-integrals edit,2/26/2021,2/16/2021
AS16-Assessment-11.1-Sequences edit,3/8/2021,2/26/2021
AS17-Assessment-11.2-Series edit,3/10/2021,2/28/2021
AS18-Assessment-11.3-Integral-test edit,3/12/2021,3/2/2021
AS19-Assessment-11.4-Comparison-tests edit,3/15/2021,3/5/2021
AS20-Assessment-11.6-part1-Ratio-test edit,3/19/2021,3/9/2021
AS21-Assessment-11.6-part2-Abs-convergence edit,3/19/2021,3/9/2021
AS22-Assessment-11.8-Power-series edit,3/22/2021,3/12/2021
AS23-Assessment-11.9-More-power-series edit,3/24/2021,3/14/2021
AS24-Assessment-11.10-Taylor-series edit,3/29/2021,3/19/2021
AS25-Assessment-11.10-11-More-Taylor-series edit,3/31/2021,3/21/2021
AS26-Assessment-10.1-Parametric-curves edit,4/5/2021,3/26/2021
AS27-Assessment-10.3-part1-Polar-coordinates edit,4/12/2021,4/2/2021
AS28-Assessment-10.3-part2-Sketching-curves-in-polar-coordinates edit,4/14/2021,4/4/2021
AS29-Assessment-8.1-Arc-length edit,4/16/2021,4/6/2021
AS30-Assessment-10.2-Parametric-Calculus edit,4/7/2021,3/28/2021
AS31-Assessment-10.4-Areas-and-Lengths-in-polar-coordinates edit,4/21/2021,4/11/2021
Calculus-1-Review edit,4/21/2021,4/11/2021
Drop-Date-Review edit,4/21/2021,4/11/2021
LS01-Learning-5.2-Volumes edit,1/22/2021,1/12/2021
LS02-Learning-5.4-Work edit,1/25/2021,1/15/2021
LS03-Learning-6.1-Inverse-fcns edit,1/26/2021,1/16/2021
LS04-Learning-6.2-Natural-log-fcn edit,1/27/2021,1/17/2021
LS05-Learning-6.3-Natural-exp-fcn edit,1/27/2021,1/17/2021
LS06-Learning-6.4-General-log-exp-fcns edit,1/29/2021,1/19/2021
LS07-Learning-6.5-Exp-growth-decay edit,2/1/2021,1/22/2021
LS08-Learning-6.6-Inverse-trig-fcns edit,2/3/2021,1/24/2021
LS09-Learning-6.7-Hyperbolic-fcns edit,2/5/2021,1/26/2021
LS10-Learning-6.8-lHopitals-rule edit,2/8/2021,1/29/2021
LS11-Learning-7.1-Integration-by-parts edit,2/12/2021,2/2/2021
LS12-Learning-7.2-Trig-integrals edit,2/15/2021,2/5/2021
LS13-Learning-7.3-Trig-substitution edit,2/19/2021,2/9/2021
LS14-Learning-7.4-Partial-fractions edit,2/22/2021,2/12/2021
LS15-Learning-7.8-Improper-integrals edit,2/26/2021,2/16/2021
LS16-Learning-11.1-Sequences edit,3/8/2021,2/26/2021
LS17-Learning-11.2-Series edit,3/10/2021,2/28/2021
LS18-Learning-11.3-Integral-test edit,3/12/2021,3/2/2021
LS19-Learning-11.4-Comparison-tests edit,3/15/2021,3/5/2021
LS20-Learning-11.6-part1-Ratio-test edit,3/19/2021,3/9/2021
LS21-Learning-11.6-part2-Abs-convergence edit,3/19/2021,3/9/2021
LS22-Learning-11.8-Power-series edit,3/22/2021,3/12/2021
LS23-Learning-11.9-More-power-series edit,3/24/2021,3/14/2021
LS24-Learning-11.10-Taylor-series edit,3/29/2021,3/19/2021
LS25-Learning-11.10-11-More-Taylor-series edit,3/31/2021,3/21/2021
LS26-Learning-10.1-Parametric-curves edit,4/5/2021,3/26/2021
LS27-Learning-10.3-part1-Polar-coordinates edit,4/12/2021,4/2/2021
LS28-Learning-10.3-part2-Sketching-curves-in-polar-coordinates edit,4/14/2021,4/4/2021
LS29-Learning-8.1-Arc-length edit,4/16/2021,4/6/2021
LS30-Learning-10.2-Parametric-Calculus edit,4/7/2021,3/28/2021
LS31-Learning-10.4-Areas-and-Lengths-in-polar-coordinates edit,4/21/2021,4/11/2021
